"id_rz_no_lectura","id_persona","razon_no_lectura"
432,1631,"Otras actividades recreativas y/o sociales"
433,1755,"Otras actividades recreativas y/o sociales"
434,1950,"Otras actividades recreativas y/o sociales"
435,2434,"Otras actividades recreativas y/o sociales"
436,2436,"Otras actividades recreativas y/o sociales"
437,2441,"Otras actividades recreativas y/o sociales"
438,2482,"Otras actividades recreativas y/o sociales"
439,2556,"Otras actividades recreativas y/o sociales"
440,2565,"Otras actividades recreativas y/o sociales"
441,2599,"Otras actividades recreativas y/o sociales"
442,2604,"Otras actividades recreativas y/o sociales"
443,2617,"Otras actividades recreativas y/o sociales"
444,2694,"Otras actividades recreativas y/o sociales"
445,2695,"Otras actividades recreativas y/o sociales"
446,2698,"Otras actividades recreativas y/o sociales"
447,2701,"Otras actividades recreativas y/o sociales"
448,2702,"Otras actividades recreativas y/o sociales"
449,2710,"Otras actividades recreativas y/o sociales"
450,2736,"Otras actividades recreativas y/o sociales"
451,2743,"Otras actividades recreativas y/o sociales"
452,2758,"Otras actividades recreativas y/o sociales"
453,2769,"Otras actividades recreativas y/o sociales"
454,2906,"Otras actividades recreativas y/o sociales"
455,2917,"Otras actividades recreativas y/o sociales"
456,3272,"Otras actividades recreativas y/o sociales"
457,3917,"Otras actividades recreativas y/o sociales"
458,3923,"Otras actividades recreativas y/o sociales"
459,4068,"Otras actividades recreativas y/o sociales"
460,4192,"Otras actividades recreativas y/o sociales"
461,4986,"Otras actividades recreativas y/o sociales"
462,5023,"Otras actividades recreativas y/o sociales"
463,5552,"Otras actividades recreativas y/o sociales"
464,6518,"Otras actividades recreativas y/o sociales"
465,6569,"Otras actividades recreativas y/o sociales"
466,6619,"Otras actividades recreativas y/o sociales"
467,6656,"Otras actividades recreativas y/o sociales"
468,7006,"Otras actividades recreativas y/o sociales"
469,7553,"Otras actividades recreativas y/o sociales"
470,7569,"Otras actividades recreativas y/o sociales"
471,7570,"Otras actividades recreativas y/o sociales"
472,7571,"Otras actividades recreativas y/o sociales"
473,7722,"Otras actividades recreativas y/o sociales"
474,7736,"Otras actividades recreativas y/o sociales"
475,7737,"Otras actividades recreativas y/o sociales"
476,7790,"Otras actividades recreativas y/o sociales"
477,7795,"Otras actividades recreativas y/o sociales"
478,7796,"Otras actividades recreativas y/o sociales"
479,7805,"Otras actividades recreativas y/o sociales"
480,7859,"Otras actividades recreativas y/o sociales"
481,7867,"Otras actividades recreativas y/o sociales"
482,8304,"Otras actividades recreativas y/o sociales"
483,8442,"Otras actividades recreativas y/o sociales"
484,8514,"Otras actividades recreativas y/o sociales"
485,8560,"Otras actividades recreativas y/o sociales"
486,8619,"Otras actividades recreativas y/o sociales"
487,8858,"Otras actividades recreativas y/o sociales"
488,8864,"Otras actividades recreativas y/o sociales"
489,9057,"Otras actividades recreativas y/o sociales"
490,9065,"Otras actividades recreativas y/o sociales"
491,9808,"Otras actividades recreativas y/o sociales"
492,10526,"Otras actividades recreativas y/o sociales"
493,10585,"Otras actividades recreativas y/o sociales"
494,10593,"Otras actividades recreativas y/o sociales"
495,10905,"Otras actividades recreativas y/o sociales"
496,11331,"Otras actividades recreativas y/o sociales"
497,11374,"Otras actividades recreativas y/o sociales"
498,11602,"Otras actividades recreativas y/o sociales"
499,11649,"Otras actividades recreativas y/o sociales"
500,11717,"Otras actividades recreativas y/o sociales"
501,11935,"Otras actividades recreativas y/o sociales"
502,12085,"Otras actividades recreativas y/o sociales"
503,12374,"Otras actividades recreativas y/o sociales"
504,12498,"Otras actividades recreativas y/o sociales"
505,12598,"Otras actividades recreativas y/o sociales"
506,12792,"Otras actividades recreativas y/o sociales"
507,12797,"Otras actividades recreativas y/o sociales"
508,13055,"Otras actividades recreativas y/o sociales"
509,13123,"Otras actividades recreativas y/o sociales"
510,13298,"Otras actividades recreativas y/o sociales"
511,13331,"Otras actividades recreativas y/o sociales"
512,13398,"Otras actividades recreativas y/o sociales"
513,13500,"Otras actividades recreativas y/o sociales"
514,13561,"Otras actividades recreativas y/o sociales"
515,13576,"Otras actividades recreativas y/o sociales"
516,13585,"Otras actividades recreativas y/o sociales"
517,13607,"Otras actividades recreativas y/o sociales"
518,13618,"Otras actividades recreativas y/o sociales"
519,14634,"Otras actividades recreativas y/o sociales"
520,14641,"Otras actividades recreativas y/o sociales"
521,14649,"Otras actividades recreativas y/o sociales"
522,14651,"Otras actividades recreativas y/o sociales"
523,15076,"Otras actividades recreativas y/o sociales"
524,15153,"Otras actividades recreativas y/o sociales"
525,15322,"Otras actividades recreativas y/o sociales"
526,15365,"Otras actividades recreativas y/o sociales"
527,15372,"Otras actividades recreativas y/o sociales"
528,15373,"Otras actividades recreativas y/o sociales"
529,15399,"Otras actividades recreativas y/o sociales"
530,15411,"Otras actividades recreativas y/o sociales"
531,15419,"Otras actividades recreativas y/o sociales"
532,15438,"Otras actividades recreativas y/o sociales"
533,15663,"Otras actividades recreativas y/o sociales"
534,16636,"Otras actividades recreativas y/o sociales"
535,16641,"Otras actividades recreativas y/o sociales"
536,16648,"Otras actividades recreativas y/o sociales"
537,16668,"Otras actividades recreativas y/o sociales"
538,16892,"Otras actividades recreativas y/o sociales"
539,17156,"Otras actividades recreativas y/o sociales"
540,17200,"Otras actividades recreativas y/o sociales"
541,17288,"Otras actividades recreativas y/o sociales"
542,17297,"Otras actividades recreativas y/o sociales"
543,17587,"Otras actividades recreativas y/o sociales"
544,17884,"Otras actividades recreativas y/o sociales"
545,17956,"Otras actividades recreativas y/o sociales"
546,18077,"Otras actividades recreativas y/o sociales"
547,18213,"Otras actividades recreativas y/o sociales"
548,18257,"Otras actividades recreativas y/o sociales"
549,18436,"Otras actividades recreativas y/o sociales"
550,18799,"Otras actividades recreativas y/o sociales"
551,19130,"Otras actividades recreativas y/o sociales"
552,19167,"Otras actividades recreativas y/o sociales"
553,19186,"Otras actividades recreativas y/o sociales"
554,19465,"Otras actividades recreativas y/o sociales"
555,19529,"Otras actividades recreativas y/o sociales"
556,19559,"Otras actividades recreativas y/o sociales"
557,19640,"Otras actividades recreativas y/o sociales"
558,19795,"Otras actividades recreativas y/o sociales"
559,19905,"Otras actividades recreativas y/o sociales"
560,19931,"Otras actividades recreativas y/o sociales"
561,19997,"Otras actividades recreativas y/o sociales"
562,20144,"Otras actividades recreativas y/o sociales"
563,20343,"Otras actividades recreativas y/o sociales"
564,20391,"Otras actividades recreativas y/o sociales"
565,20459,"Otras actividades recreativas y/o sociales"
566,20493,"Otras actividades recreativas y/o sociales"
567,20596,"Otras actividades recreativas y/o sociales"
568,20779,"Otras actividades recreativas y/o sociales"
569,20841,"Otras actividades recreativas y/o sociales"
570,21480,"Otras actividades recreativas y/o sociales"
571,21561,"Otras actividades recreativas y/o sociales"
572,21596,"Otras actividades recreativas y/o sociales"
573,21626,"Otras actividades recreativas y/o sociales"
574,21721,"Otras actividades recreativas y/o sociales"
575,21759,"Otras actividades recreativas y/o sociales"
576,22273,"Otras actividades recreativas y/o sociales"
577,22297,"Otras actividades recreativas y/o sociales"
578,23029,"Otras actividades recreativas y/o sociales"
579,23031,"Otras actividades recreativas y/o sociales"
580,23118,"Otras actividades recreativas y/o sociales"
581,23205,"Otras actividades recreativas y/o sociales"
582,23206,"Otras actividades recreativas y/o sociales"
583,23567,"Otras actividades recreativas y/o sociales"
584,23634,"Otras actividades recreativas y/o sociales"
585,23709,"Otras actividades recreativas y/o sociales"
586,23829,"Otras actividades recreativas y/o sociales"
587,23861,"Otras actividades recreativas y/o sociales"
588,24375,"Otras actividades recreativas y/o sociales"
589,24430,"Otras actividades recreativas y/o sociales"
590,24447,"Otras actividades recreativas y/o sociales"
591,24627,"Otras actividades recreativas y/o sociales"
592,25281,"Otras actividades recreativas y/o sociales"
593,25757,"Otras actividades recreativas y/o sociales"
594,25792,"Otras actividades recreativas y/o sociales"
595,25835,"Otras actividades recreativas y/o sociales"
596,26269,"Otras actividades recreativas y/o sociales"
597,26486,"Otras actividades recreativas y/o sociales"
598,26531,"Otras actividades recreativas y/o sociales"
599,27012,"Otras actividades recreativas y/o sociales"
600,27187,"Otras actividades recreativas y/o sociales"
601,27259,"Otras actividades recreativas y/o sociales"
602,27391,"Otras actividades recreativas y/o sociales"
603,27613,"Otras actividades recreativas y/o sociales"
604,27631,"Otras actividades recreativas y/o sociales"
605,27762,"Otras actividades recreativas y/o sociales"
606,27838,"Otras actividades recreativas y/o sociales"
607,27985,"Otras actividades recreativas y/o sociales"
608,28256,"Otras actividades recreativas y/o sociales"
609,28274,"Otras actividades recreativas y/o sociales"
610,28289,"Otras actividades recreativas y/o sociales"
611,28298,"Otras actividades recreativas y/o sociales"
612,28347,"Otras actividades recreativas y/o sociales"
613,28536,"Otras actividades recreativas y/o sociales"
614,28596,"Otras actividades recreativas y/o sociales"
615,28598,"Otras actividades recreativas y/o sociales"
616,28615,"Otras actividades recreativas y/o sociales"
617,28618,"Otras actividades recreativas y/o sociales"
618,28626,"Otras actividades recreativas y/o sociales"
619,28863,"Otras actividades recreativas y/o sociales"
620,28873,"Otras actividades recreativas y/o sociales"
621,28890,"Otras actividades recreativas y/o sociales"
622,29003,"Otras actividades recreativas y/o sociales"
623,29288,"Otras actividades recreativas y/o sociales"
624,29379,"Otras actividades recreativas y/o sociales"
