"id_rz_lectura","id_persona","razon_si_lectura"
351,920,"Placer/entretenimiento"
352,924,"Placer/entretenimiento"
353,928,"Placer/entretenimiento"
354,930,"Placer/entretenimiento"
355,932,"Placer/entretenimiento"
356,934,"Placer/entretenimiento"
357,935,"Placer/entretenimiento"
358,938,"Placer/entretenimiento"
359,940,"Placer/entretenimiento"
360,941,"Placer/entretenimiento"
361,942,"Placer/entretenimiento"
362,947,"Placer/entretenimiento"
363,948,"Placer/entretenimiento"
364,951,"Placer/entretenimiento"
365,953,"Placer/entretenimiento"
366,954,"Placer/entretenimiento"
367,955,"Placer/entretenimiento"
368,956,"Placer/entretenimiento"
369,959,"Placer/entretenimiento"
370,960,"Placer/entretenimiento"
371,962,"Placer/entretenimiento"
372,963,"Placer/entretenimiento"
373,964,"Placer/entretenimiento"
374,967,"Placer/entretenimiento"
375,969,"Placer/entretenimiento"
376,972,"Placer/entretenimiento"
377,975,"Placer/entretenimiento"
378,976,"Placer/entretenimiento"
379,978,"Placer/entretenimiento"
380,985,"Placer/entretenimiento"
381,987,"Placer/entretenimiento"
382,992,"Placer/entretenimiento"
383,993,"Placer/entretenimiento"
384,997,"Placer/entretenimiento"
385,999,"Placer/entretenimiento"
386,1000,"Placer/entretenimiento"
387,1013,"Placer/entretenimiento"
388,1017,"Placer/entretenimiento"
389,1020,"Placer/entretenimiento"
390,1024,"Placer/entretenimiento"
391,1025,"Placer/entretenimiento"
392,1026,"Placer/entretenimiento"
393,1029,"Placer/entretenimiento"
394,1030,"Placer/entretenimiento"
395,1031,"Placer/entretenimiento"
396,1032,"Placer/entretenimiento"
397,1033,"Placer/entretenimiento"
398,1034,"Placer/entretenimiento"
399,1035,"Placer/entretenimiento"
400,1036,"Placer/entretenimiento"
401,1037,"Placer/entretenimiento"
402,1038,"Placer/entretenimiento"
403,1039,"Placer/entretenimiento"
404,1041,"Placer/entretenimiento"
405,1043,"Placer/entretenimiento"
406,1045,"Placer/entretenimiento"
407,1046,"Placer/entretenimiento"
408,1047,"Placer/entretenimiento"
409,1048,"Placer/entretenimiento"
410,1049,"Placer/entretenimiento"
411,1050,"Placer/entretenimiento"
412,1051,"Placer/entretenimiento"
413,1052,"Placer/entretenimiento"
414,1053,"Placer/entretenimiento"
415,1054,"Placer/entretenimiento"
416,1055,"Placer/entretenimiento"
417,1056,"Placer/entretenimiento"
418,1057,"Placer/entretenimiento"
419,1058,"Placer/entretenimiento"
420,1059,"Placer/entretenimiento"
421,1060,"Placer/entretenimiento"
422,1061,"Placer/entretenimiento"
423,1062,"Placer/entretenimiento"
424,1065,"Placer/entretenimiento"
425,1066,"Placer/entretenimiento"
426,1067,"Placer/entretenimiento"
427,1068,"Placer/entretenimiento"
428,1071,"Placer/entretenimiento"
429,1072,"Placer/entretenimiento"
430,1077,"Placer/entretenimiento"
431,1078,"Placer/entretenimiento"
432,1079,"Placer/entretenimiento"
433,1080,"Placer/entretenimiento"
434,1081,"Placer/entretenimiento"
435,1084,"Placer/entretenimiento"
436,1086,"Placer/entretenimiento"
437,1088,"Placer/entretenimiento"
438,1089,"Placer/entretenimiento"
439,1090,"Placer/entretenimiento"
440,1091,"Placer/entretenimiento"
441,1092,"Placer/entretenimiento"
442,1094,"Placer/entretenimiento"
443,1095,"Placer/entretenimiento"
444,1096,"Placer/entretenimiento"
445,1097,"Placer/entretenimiento"
446,1098,"Placer/entretenimiento"
447,1105,"Placer/entretenimiento"
448,1108,"Placer/entretenimiento"
